Startup-Time:    0.000000 at 1932.740742061 sec
drone_timestamp, sys_timestamp, own_x, own_y, member_50_x, member_50_y, member_51_x, member_51_y
  20.358727, 1953.117567555,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  20.757341, 1953.501283106,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  21.155958, 1953.882153885,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  21.554573, 1954.304334465,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  21.953190, 1954.689776621,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  22.351807, 1955.101369977,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  22.750422, 1955.492385050,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  23.149038, 1955.901468926,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  23.547653, 1956.269526308,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  23.946270, 1956.680271006,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  24.344887, 1957.097952170,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  24.743502, 1957.485831910,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  25.142118, 1957.891376496,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  25.540733, 1958.298265819,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  25.939350, 1958.678859344,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  26.337967, 1959.088168380,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
  26.736582, 1959.488412527,    -0.0000,     0.0000,    -0.0078,  -166.9062,    -0.0000,     0.0000
